gloss,diff,high,low,stem_gloss,molly_pos
again,0.05392156862745098,0.07352941176470588,0.0196078431372549,again,Adverb
not,0.03431372549019608,0.06862745098039216,0.03431372549019608,not,Adverb
okay,0.03431372549019608,0.05392156862745098,0.0196078431372549,okay,Adverb
now,0.029411764705882356,0.05392156862745098,0.024509803921568627,now,Adverb
too,0.019607843137254905,0.04411764705882353,0.024509803921568627,too,Adverb
very,0.014705882352941176,0.014705882352941176,0,very,Adverb
alright,0.00980392156862745,0.014705882352941176,0.004901960784313725,alright,Adverb
downstairs,0.00980392156862745,0.00980392156862745,0,downstairs,Adverb
then,0.00980392156862745,0.014705882352941176,0.004901960784313725,then,Adverb
together,0.00980392156862745,0.00980392156862745,0,together,Adverb
actually,0.004901960784313725,0.004901960784313725,0,actual,Adverb
never,0.004901960784313725,0.004901960784313725,0,never,Adverb
night_night,0.004901960784313725,0.00980392156862745,0.004901960784313725,night_night,Adverb
lovely,0,0.004901960784313725,0.004901960784313725,love,Adverb
nope,0,0.00980392156862745,0.00980392156862745,nope,Adverb
well,0,0.00980392156862745,0.00980392156862745,well,Adverb
always,-0.004901960784313725,0,0.004901960784313725,always,Adverb
good_night,-0.004901960784313725,0,0.004901960784313725,good_night,Adverb
yep,-0.004901960784313725,0.00980392156862745,0.014705882352941176,yep,Adverb
no,-0.004901960784313736,0.1568627450980392,0.16176470588235295,no,Adverb
maybe,-0.014705882352941176,0,0.014705882352941176,maybe,Adverb
please,0.06372549019607844,0.06862745098039216,0.004901960784313725,please,Conjunction
and,0.03431372549019608,0.08823529411764706,0.05392156862745098,and,Conjunction
yet,0.00980392156862745,0.00980392156862745,0,yet,Conjunction
as_well,0.004901960784313725,0.004901960784313725,0,as_well,Conjunction
because,0.004901960784313725,0.014705882352941176,0.00980392156862745,because,Conjunction
if,0.004901960784313725,0.004901960784313725,0,if,Conjunction
but,0,0.004901960784313725,0.004901960784313725,but,Conjunction
so,0,0.004901960784313725,0.004901960784313725,so,Conjunction
or,-0.004901960784313725,0.004901960784313725,0.00980392156862745,or,Conjunction
the,0.05392156862745097,0.12254901960784313,0.06862745098039216,the,Definite Article
other,0.00980392156862745,0.029411764705882353,0.0196078431372549,other,Definite Article
a,0.009803921568627444,0.14705882352941177,0.13725490196078433,a,Definite Article
else,0.004901960784313725,0.014705882352941176,0.00980392156862745,else,Definite Article
their,0.004901960784313725,0.004901960784313725,0,their,Definite Article
